iter	Passed	Remaining
1274	124723	6722826
1275	124830	6723246
1276	124924	6722925
1277	125022	6722843
1278	125119	6722686
1279	125226	6723104
1280	125319	6722716
1281	125425	6723085
1282	125518	6722744
1283	125620	6722842
1284	125719	6722791
1285	125823	6723051
1286	125926	6723209
1287	126023	6723096
1288	126115	6722686
1289	126210	6722426
1290	126300	6721922
1291	126405	6722191
1292	126522	6723136
1293	126631	6723588
1294	126739	6724028
1295	126850	6724640
1296	126944	6724315
1297	127054	6724900
1298	127151	6724732
1299	127257	6725082
1300	127347	6724568
1301	127452	6724808
1302	127561	6725310
1303	127662	6725362
1304	127776	6726158
1305	127877	6726175
1306	127981	6726400
1307	128082	6726461
1308	128192	6727047
1309	128282	6726508
1310	128388	6726843
1311	128494	6727149
1312	128592	6727049
1313	128703	6727628
1314	128814	6728216
1315	128908	6727928
1316	129002	6727620
1317	129107	6727883
1318	129200	6727523
1319	129298	6727453
1320	129399	6727507
1321	129508	6727971
1322	129617	6728447
1323	129709	6728022
1324	129801	6727629
1325	129892	6727170
1326	130001	6727676
1327	130091	6727147
1328	130184	6726806
1329	130295	6727380
1330	130392	6727231
1331	130496	6727412
1332	130595	6727364
1333	130709	6728117
1334	130815	6728401
1335	130922	6728765
1336	131028	6729084
1337	131118	6728597
1338	131207	6728055
1339	131310	6728197
1340	131401	6727717
1341	131507	6728046
1342	131611	6728243
1343	131702	6727822
1344	131795	6727453
1345	131888	6727075
1346	131981	6726732
1347	132091	6727270
1348	132204	6727911
1349	132312	6728356
1350	132404	6727925
1351	132507	6728085
1352	132615	6728511
1353	132719	6728683
1354	132819	6728684
1355	132918	6728652
1356	133011	6728323
1357	133122	6728887
1358	133234	6729450
1359	133328	6729166
1360	133439	6729734
1361	133556	6730580
1362	133648	6730187
1363	133736	6729570
1364	133839	6729728
1365	133928	6729186
1366	134023	6728901
1367	134129	6729207
1368	134233	6729437
1369	134331	6729301
1370	134436	6729586
1371	134541	6729802
1372	134648	6730145
1373	134748	6730185
1374	134859	6730690
1375	134959	6730722
1376	135057	6730629
1377	135160	6730781
1378	135265	6731027
1379	135375	6731472
1380	135470	6731259
1381	135565	6730974
1382	135670	6731251
1383	135759	6730692
1384	135853	6730396
1385	135956	6730555
1386	136059	6730695
1387	136157	6730573
1388	136266	6731028
1389	136360	6730728
1390	136470	6731193
1391	136573	6731367
1392	136676	6731465
1393	136769	6731122
1394	136875	6731429
1395	136967	6731044
1396	137068	6731093
1397	137169	6731096
1398	137262	6730746
1399	137354	6730353
1400	137459	6730624
1401	137555	6730385
1402	137661	6730719
1403	137769	6731060
1404	137861	6730706
1405	137963	6730767
1406	138058	6730524
